ITEM_ID,STYLE,TAXONOMY_STYLE,COLOR_NAME,PRODUCT_CLASS,PRODUCT_SUBCLASS,TEAM,FRANCHISE,PRODUCT_GROUP,COLORWAY_INTENT
color-mens-super-light-tree-runners-ntrl-blck-blm-crl,mens-superlight-tree-runners,,,,,,,,
color-mens-super-light-tree-runners-ntrl-blck-drk-gry-blz,mens-superlight-tree-runners,SuperLight TR,"Ntrl Blck, Drk Gry (Blz)",Footwear,Shoe,Mens,Superlight,Lifestyle,Core
color-mens-super-light-tree-runners-stormy-mauve-blizzard,mens-superlight-tree-runners,SuperLight TR,Stormy Mauve (Blizzard),Footwear,Shoe,Mens,Superlight,Lifestyle,Non-Core
color-mens-super-light-wool-runners-dapple-grey-blizzard,mens-superlight-wool-runners,SuperLight WR,Dapple Grey (Blizzard),Footwear,Shoe,Mens,Superlight,Lifestyle,Non-Core
color-mens-super-light-wool-runners-dark-grey-medium-grey,mens-superlight-wool-runners,SuperLight WR,Dark Grey (Medium Grey),Footwear,Shoe,Mens,Superlight,Lifestyle,Core
color-mens-super-light-wool-runners-dppl-gry-ntrl-wht,mens-superlight-wool-runners,SuperLight WR,Dppl Gry (Ntrl Wht),Footwear,Shoe,Mens,Superlight,Lifestyle,Core
color-mens-super-light-wool-runners-natural-black-blizzard,mens-superlight-wool-runners,SuperLight WR,Natural Black (Blizzard),Footwear,Shoe,Mens,Superlight,Lifestyle,Core
color-mens-super-light-wool-runners-natural-white-blizzard,mens-superlight-wool-runners,SuperLight WR,Natural White (Blizzard),Footwear,Shoe,Mens,Superlight,Lifestyle,Core
color-mens-super-light-wool-runners-ntrl-blck-lght-gry,mens-superlight-wool-runners,SuperLight WR,Ntrl Blck (Lght Gry),Footwear,Shoe,Mens,Superlight,Lifestyle,Core
color-mens-super-light-wool-runners-thndr-prpl-ntrl-wht,mens-superlight-wool-runners,SuperLight WR,Thndr Prpl (Ntrl Wht),Footwear,Shoe,Mens,Superlight,Lifestyle,Non-Core
color-mens-trail-runners-swt-bloom-pink-chia-purple,mens-trail-runners-swt,Trail Runner SWT,Bloom Pink (Chia Purple),Footwear,Shoe,Mens,Trail,Active,Limited
color-mens-trail-runners-swt-calm-taupe-calm-taupe,mens-trail-runners-swt,Trail Runner SWT,Calm Taupe (Calm Taupe),Footwear,Shoe,Mens,Trail,Active,Non-Core
color-mens-trail-runners-swt-deep-emerald-buoyant-mint,mens-trail-runners-swt,Trail Runner SWT,Deep Emerald (Buoyant Mint),Footwear,Shoe,Mens,Trail,Active,Non-Core
color-mens-trail-runners-swt-diablo-red,mens-trail-runners-swt,Trail Runner SWT,Diablo (Red),Footwear,Shoe,Mens,Trail,Active,Non-Core
color-mens-trail-runners-swt-forager-green-marsh-green,mens-trail-runners-swt,Trail Runner SWT,Forager Green (Marsh Green),Footwear,Shoe,Mens,Trail,Active,Non-Core
color-mens-trail-runners-swt-forager-white-humid-rust,mens-trail-runners-swt,Trail Runner SWT,Forager White (Humid Rust),Footwear,Shoe,Mens,Trail,Active,Non-Core
color-mens-trail-runners-swt-hazy-beige-lux-purple,mens-trail-runners-swt,Trail Runner SWT,Hazy Beige/Lux Purple,Footwear,Shoe,Mens,Trail,Active,Non-Core
color-mens-trail-runners-swt-hazy-cobalt-ultramarine,mens-trail-runners-swt,Trail Runner SWT,Hazy Cobalt (Ultramarine),Footwear,Shoe,Mens,Trail,Active,Non-Core
color-mens-trail-runners-swt-hazy-pink-hazy-mauve,mens-trail-runners-swt,Trail Runner SWT,Hazy Pink (Hazy Mauve),Footwear,Shoe,Mens,Trail,Active,Non-Core
color-mens-trail-runners-swt-honey-rust-forage-tan,mens-trail-runners-swt,Trail Runner SWT,Honey Rust (Forage Tan),Footwear,Shoe,Mens,Trail,Active,Non-Core
